"","timeframe",""
"199","2006-09-21 - 2009-08-06","FRA_B_1 - MEX_B_1"
"200","2006-09-28 - 2009-08-13","DEU_B_1 - MEX_B_1"
"201","2006-09-28 - 2009-08-13","FRA_B_1 - MEX_B_1"
"202","2006-10-05 - 2009-08-20","DEU_B_1 - MEX_B_1"
"203","2006-10-05 - 2009-08-20","FRA_B_1 - MEX_B_1"
"204","2006-10-12 - 2009-08-27","DEU_B_1 - MEX_B_1"
"205","2006-10-12 - 2009-08-27","FRA_B_1 - MEX_B_1"
"206","2006-10-19 - 2009-09-03","DEU_B_1 - MEX_B_1"
"207","2006-10-19 - 2009-09-03","FRA_B_1 - MEX_B_1"
"208","2006-10-26 - 2009-09-10","DEU_B_1 - MEX_B_1"
"209","2006-10-26 - 2009-09-10","FRA_B_1 - MEX_B_1"
"210","2006-11-02 - 2009-09-17","DEU_B_1 - MEX_B_1"
"211","2006-11-02 - 2009-09-17","FRA_B_1 - MEX_B_1"
"212","2006-11-09 - 2009-09-24","DEU_B_1 - MEX_B_1"
"213","2006-11-09 - 2009-09-24","FRA_B_1 - MEX_B_1"
"214","2006-11-16 - 2009-10-01","DEU_B_1 - MEX_B_1"
"215","2006-11-16 - 2009-10-01","FRA_B_1 - MEX_B_1"
"216","2006-11-23 - 2009-10-08","DEU_B_1 - MEX_B_1"
"217","2006-11-23 - 2009-10-08","FRA_B_1 - MEX_B_1"
"218","2006-11-30 - 2009-10-15","DEU_B_1 - MEX_B_1"
"219","2006-11-30 - 2009-10-15","FRA_B_1 - MEX_B_1"
"220","2006-12-07 - 2009-10-22","DEU_B_1 - MEX_B_1"
"221","2006-12-07 - 2009-10-22","FRA_B_1 - MEX_B_1"
"222","2006-12-14 - 2009-10-29","DEU_B_1 - MEX_B_1"
"223","2006-12-14 - 2009-10-29","FRA_B_1 - MEX_B_1"
"224","2006-12-21 - 2009-11-05","DEU_B_1 - MEX_B_1"
"225","2006-12-21 - 2009-11-05","FRA_B_1 - MEX_B_1"
"226","2006-12-28 - 2009-11-12","DEU_B_1 - MEX_B_1"
"227","2006-12-28 - 2009-11-12","FRA_B_1 - MEX_B_1"
"228","2007-01-04 - 2009-11-19","DEU_B_1 - MEX_B_1"
"229","2007-01-04 - 2009-11-19","FRA_B_1 - MEX_B_1"
"230","2007-01-11 - 2009-11-26","DEU_B_1 - MEX_B_1"
"231","2007-01-11 - 2009-11-26","FRA_B_1 - MEX_B_1"
"232","2007-01-18 - 2009-12-03","DEU_B_1 - MEX_B_1"
"233","2007-01-18 - 2009-12-03","FRA_B_1 - MEX_B_1"
"234","2007-01-25 - 2009-12-10","DEU_B_1 - MEX_B_1"
"235","2007-01-25 - 2009-12-10","FRA_B_1 - MEX_B_1"
"236","2007-02-01 - 2009-12-17","DEU_B_1 - MEX_B_1"
"237","2007-02-01 - 2009-12-17","FRA_B_1 - MEX_B_1"
"238","2007-02-08 - 2009-12-24","DEU_B_1 - MEX_B_1"
"239","2007-02-08 - 2009-12-24","FRA_B_1 - MEX_B_1"
"240","2007-02-15 - 2009-12-31","JPN_B_1 - GBR_B_1"
"241","2007-02-15 - 2009-12-31","DEU_B_1 - MEX_B_1"
"242","2007-02-15 - 2009-12-31","FRA_B_1 - MEX_B_1"
"243","2007-02-15 - 2009-12-31","FRA_B_1 - NOR_B_1"
"244","2007-02-22 - 2010-01-07","JPN_B_1 - GBR_B_1"
"245","2007-02-22 - 2010-01-07","DEU_B_1 - MEX_B_1"
"246","2007-02-22 - 2010-01-07","FRA_B_1 - MEX_B_1"
"247","2007-03-01 - 2010-01-14","JPN_B_1 - GBR_B_1"
"248","2007-03-01 - 2010-01-14","DEU_B_1 - MEX_B_1"
"249","2007-03-01 - 2010-01-14","FRA_B_1 - MEX_B_1"
"250","2007-03-08 - 2010-01-21","JPN_B_1 - GBR_B_1"
"251","2007-03-08 - 2010-01-21","DEU_B_1 - MEX_B_1"
"252","2007-03-08 - 2010-01-21","FRA_B_1 - MEX_B_1"
"253","2007-03-15 - 2010-01-28","JPN_B_1 - GBR_B_1"
"254","2007-03-15 - 2010-01-28","DEU_B_1 - MEX_B_1"
"255","2007-03-15 - 2010-01-28","FRA_B_1 - MEX_B_1"
"256","2007-03-22 - 2010-02-04","JPN_B_1 - GBR_B_1"
"257","2007-03-22 - 2010-02-04","DEU_B_1 - MEX_B_1"
"258","2007-03-22 - 2010-02-04","FRA_B_1 - MEX_B_1"
"259","2007-03-29 - 2010-02-11","JPN_B_1 - GBR_B_1"
"260","2007-03-29 - 2010-02-11","DEU_B_1 - MEX_B_1"
"261","2007-03-29 - 2010-02-11","FRA_B_1 - MEX_B_1"
"262","2007-04-05 - 2010-02-18","JPN_B_1 - GBR_B_1"
"263","2007-04-05 - 2010-02-18","DEU_B_1 - MEX_B_1"
"264","2007-04-05 - 2010-02-18","FRA_B_1 - MEX_B_1"
"265","2007-04-12 - 2010-02-25","JPN_B_1 - GBR_B_1"
"266","2007-04-12 - 2010-02-25","CHN_B_1 - MEX_B_1"
"267","2007-04-12 - 2010-02-25","DEU_B_1 - MEX_B_1"
"268","2007-04-12 - 2010-02-25","FRA_B_1 - MEX_B_1"
"269","2007-04-19 - 2010-03-04","JPN_B_1 - GBR_B_1"
"270","2007-04-19 - 2010-03-04","CHN_B_1 - MEX_B_1"
"271","2007-04-19 - 2010-03-04","DEU_B_1 - MEX_B_1"
"272","2007-04-19 - 2010-03-04","FRA_B_1 - MEX_B_1"
"273","2007-04-26 - 2010-03-11","JPN_B_1 - GBR_B_1"
"274","2007-04-26 - 2010-03-11","CHN_B_1 - MEX_B_1"
"275","2007-04-26 - 2010-03-11","DEU_B_1 - MEX_B_1"
"276","2007-04-26 - 2010-03-11","FRA_B_1 - MEX_B_1"
"277","2007-05-03 - 2010-03-18","CHN_B_1 - MEX_B_1"
"278","2007-05-03 - 2010-03-18","DEU_B_1 - MEX_B_1"
"279","2007-05-03 - 2010-03-18","FRA_B_1 - MEX_B_1"
"280","2007-05-10 - 2010-03-25","CHN_B_1 - MEX_B_1"
"281","2007-05-10 - 2010-03-25","DEU_B_1 - MEX_B_1"
"282","2007-05-10 - 2010-03-25","FRA_B_1 - MEX_B_1"
"283","2007-05-17 - 2010-04-01","DEU_B_1 - MEX_B_1"
"284","2007-05-17 - 2010-04-01","FRA_B_1 - MEX_B_1"
"285","2007-05-24 - 2010-04-08","DEU_B_1 - MEX_B_1"
"286","2007-05-24 - 2010-04-08","FRA_B_1 - MEX_B_1"
"287","2007-05-31 - 2010-04-15","DEU_B_1 - MEX_B_1"
"288","2007-05-31 - 2010-04-15","FRA_B_1 - MEX_B_1"
"289","2007-06-07 - 2010-04-22","DEU_B_1 - MEX_B_1"
"290","2007-06-07 - 2010-04-22","FRA_B_1 - MEX_B_1"
"291","2007-06-14 - 2010-04-29","DEU_B_1 - MEX_B_1"
"292","2007-06-14 - 2010-04-29","FRA_B_1 - MEX_B_1"
"293","2007-06-21 - 2010-05-06","DEU_B_1 - MEX_B_1"
"294","2007-06-21 - 2010-05-06","FRA_B_1 - MEX_B_1"
"295","2007-06-28 - 2010-05-13","DEU_B_1 - MEX_B_1"
"296","2007-06-28 - 2010-05-13","FRA_B_1 - MEX_B_1"
"297","2007-07-05 - 2010-05-20","DEU_B_1 - MEX_B_1"
"298","2007-07-05 - 2010-05-20","FRA_B_1 - MEX_B_1"
"299","2007-07-12 - 2010-05-27","DEU_B_1 - MEX_B_1"
"300","2007-07-12 - 2010-05-27","FRA_B_1 - MEX_B_1"
"301","2007-07-19 - 2010-06-03","DEU_B_1 - MEX_B_1"
"302","2007-07-19 - 2010-06-03","FRA_B_1 - MEX_B_1"
"303","2007-07-26 - 2010-06-10","DEU_B_1 - MEX_B_1"
"304","2007-07-26 - 2010-06-10","FRA_B_1 - MEX_B_1"
"305","2007-08-02 - 2010-06-17","DEU_B_1 - MEX_B_1"
"306","2007-08-02 - 2010-06-17","FRA_B_1 - MEX_B_1"
"307","2007-08-09 - 2010-06-24","DEU_B_1 - MEX_B_1"
"308","2007-08-09 - 2010-06-24","FRA_B_1 - MEX_B_1"
"309","2007-08-16 - 2010-07-01","NOR_B_1 - MEX_B_1"
"310","2007-08-23 - 2010-07-08","NOR_B_1 - MEX_B_1"
"311","2007-08-30 - 2010-07-15","NOR_B_1 - MEX_B_1"
"312","2007-09-06 - 2010-07-22","NOR_B_1 - MEX_B_1"
"313","2007-09-13 - 2010-07-29","NOR_B_1 - MEX_B_1"
"314","2007-09-20 - 2010-08-05","NOR_B_1 - MEX_B_1"
"315","2007-09-27 - 2010-08-12","NOR_B_1 - MEX_B_1"
"316","2007-10-04 - 2010-08-19","NOR_B_1 - MEX_B_1"
"317","2007-10-11 - 2010-08-26","NOR_B_1 - MEX_B_1"
"318","2007-10-18 - 2010-09-02","NOR_B_1 - MEX_B_1"
"319","2007-10-25 - 2010-09-09","NOR_B_1 - MEX_B_1"
"320","2007-11-01 - 2010-09-16"," - "
"321","2007-11-08 - 2010-09-23"," - "
"322","2007-11-15 - 2010-09-30"," - "
"323","2007-11-22 - 2010-10-07"," - "
"324","2007-11-29 - 2010-10-14"," - "
"325","2007-12-06 - 2010-10-21","NOR_B_1 - MEX_B_1"
"326","2007-12-13 - 2010-10-28","USA_B_1 - CHE_B_1"
"327","2007-12-13 - 2010-10-28","NOR_B_1 - MEX_B_1"
"328","2007-12-20 - 2010-11-04","NOR_B_1 - MEX_B_1"
"329","2007-12-27 - 2010-11-11","NOR_B_1 - MEX_B_1"
"330","2008-01-03 - 2010-11-18"," - "
"331","2008-01-10 - 2010-11-25"," - "
"332","2008-01-17 - 2010-12-02"," - "
"333","2008-01-24 - 2010-12-09","NOR_B_1 - MEX_B_1"
"334","2008-01-31 - 2010-12-16"," - "
"335","2008-02-07 - 2010-12-23"," - "
"336","2008-02-14 - 2010-12-30"," - "
"337","2008-02-21 - 2011-01-06"," - "
"338","2008-02-28 - 2011-01-13","NOR_B_1 - MEX_B_1"
"339","2008-03-06 - 2011-01-20","NOR_B_1 - MEX_B_1"
"340","2008-03-13 - 2011-01-27","NOR_B_1 - MEX_B_1"
"341","2008-03-20 - 2011-02-03"," - "
"342","2008-03-27 - 2011-02-10"," - "
"343","2008-04-03 - 2011-02-17","CHE_B_1 - USA_B_1"
"344","2008-04-10 - 2011-02-24"," - "
"345","2008-04-17 - 2011-03-03"," - "
"346","2008-04-24 - 2011-03-10"," - "
"347","2008-05-01 - 2011-03-17"," - "
"348","2008-05-08 - 2011-03-24"," - "
"349","2008-05-15 - 2011-03-31"," - "
"350","2008-05-22 - 2011-04-07"," - "
"351","2008-05-29 - 2011-04-14"," - "
"352","2008-06-05 - 2011-04-21"," - "
"353","2008-06-12 - 2011-04-28"," - "
"354","2008-06-19 - 2011-05-05"," - "
"355","2008-06-26 - 2011-05-12"," - "
"356","2008-07-03 - 2011-05-19"," - "
"357","2008-07-10 - 2011-05-26"," - "
"358","2008-07-17 - 2011-06-02"," - "
"359","2008-07-24 - 2011-06-09"," - "
"360","2008-07-31 - 2011-06-16"," - "
"361","2008-08-07 - 2011-06-23"," - "
"362","2008-08-14 - 2011-06-30"," - "
"363","2008-08-21 - 2011-07-07"," - "
"364","2008-08-28 - 2011-07-14","FRA_B_1 - NOR_B_1"
"365","2008-09-04 - 2011-07-21"," - "
"366","2008-09-11 - 2011-07-28","NOR_B_1 - MEX_B_1"
"367","2008-09-18 - 2011-08-04","NOR_B_1 - MEX_B_1"
"368","2008-09-25 - 2011-08-11"," - "
"369","2008-10-02 - 2011-08-18"," - "
"370","2008-10-09 - 2011-08-25","NOR_B_1 - MEX_B_1"
"371","2008-10-16 - 2011-09-01","DEU_B_1 - FRA_B_1"
"372","2008-10-23 - 2011-09-08"," - "
"373","2008-10-30 - 2011-09-15"," - "
"374","2008-11-06 - 2011-09-22"," - "
"375","2008-11-13 - 2011-09-29"," - "
"376","2008-11-20 - 2011-10-06"," - "
"377","2008-11-27 - 2011-10-13"," - "
"378","2008-12-04 - 2011-10-20"," - "
"379","2008-12-11 - 2011-10-27"," - "
"380","2008-12-18 - 2011-11-03"," - "
"381","2008-12-25 - 2011-11-10"," - "
"382","2009-01-01 - 2011-11-17"," - "
"383","2009-01-08 - 2011-11-24"," - "
"384","2009-01-15 - 2011-12-01","DEU_B_1 - FRA_B_1"
"385","2009-01-22 - 2011-12-08"," - "
"386","2009-01-29 - 2011-12-15"," - "
"387","2009-02-05 - 2011-12-22"," - "
"388","2009-02-12 - 2011-12-29"," - "
"389","2009-02-19 - 2012-01-05"," - "
"390","2009-02-26 - 2012-01-12"," - "
"391","2009-03-05 - 2012-01-19"," - "
"392","2009-03-12 - 2012-01-26"," - "
"393","2009-03-19 - 2012-02-02"," - "
"394","2009-03-26 - 2012-02-09"," - "
"395","2009-04-02 - 2012-02-16"," - "
"396","2009-04-09 - 2012-02-23"," - "
"397","2009-04-16 - 2012-03-01"," - "
"398","2009-04-23 - 2012-03-08"," - "
"399","2009-04-30 - 2012-03-15"," - "
"400","2009-05-07 - 2012-03-22"," - "
"401","2009-05-14 - 2012-03-29"," - "
"402","2009-05-21 - 2012-04-05"," - "
"403","2009-05-28 - 2012-04-12"," - "
"404","2009-06-04 - 2012-04-19"," - "
"405","2009-06-11 - 2012-04-26"," - "
"406","2009-06-18 - 2012-05-03"," - "
"407","2009-06-25 - 2012-05-10"," - "
"408","2009-07-02 - 2012-05-17"," - "
"409","2009-07-09 - 2012-05-24"," - "
"410","2009-07-16 - 2012-05-31"," - "
"411","2009-07-23 - 2012-06-07"," - "
"412","2009-07-30 - 2012-06-14"," - "
"413","2009-08-06 - 2012-06-21"," - "
"414","2009-08-13 - 2012-06-28"," - "
"415","2009-08-20 - 2012-07-05"," - "
"416","2009-08-27 - 2012-07-12","CHN_B_1 - MEX_B_1"
"417","2009-09-03 - 2012-07-19","CHN_B_1 - MEX_B_1"
"418","2009-09-10 - 2012-07-26","CHN_B_1 - MEX_B_1"
"419","2009-09-17 - 2012-08-02","ITA_B_1 - FRA_B_1"
"420","2009-09-17 - 2012-08-02","CHN_B_1 - MEX_B_1"
"421","2009-09-24 - 2012-08-09","ITA_B_1 - FRA_B_1"
"422","2009-09-24 - 2012-08-09","CHN_B_1 - MEX_B_1"
"423","2009-10-01 - 2012-08-16"," - "
"424","2009-10-08 - 2012-08-23"," - "
"425","2009-10-15 - 2012-08-30"," - "
"426","2009-10-22 - 2012-09-06"," - "
"427","2009-10-29 - 2012-09-13"," - "
"428","2009-11-05 - 2012-09-20"," - "
"429","2009-11-12 - 2012-09-27"," - "
"430","2009-11-19 - 2012-10-04"," - "
"431","2009-11-26 - 2012-10-11"," - "
"432","2009-12-03 - 2012-10-18"," - "
"433","2009-12-10 - 2012-10-25"," - "
"434","2009-12-17 - 2012-11-01"," - "
"435","2009-12-24 - 2012-11-08"," - "
"436","2009-12-31 - 2012-11-15"," - "
"437","2010-01-07 - 2012-11-22"," - "
"438","2010-01-14 - 2012-11-29"," - "
"439","2010-01-21 - 2012-12-06"," - "
"440","2010-01-28 - 2012-12-13"," - "
"441","2010-02-04 - 2012-12-20"," - "
"442","2010-02-11 - 2012-12-27"," - "
