"timeframe",""
"2004-08-26 - 2007-07-12","MEX_B_1 - CHN_B_1"
"2004-08-26 - 2007-07-12","MEX_B_1 - GBR_B_1"
"2004-08-26 - 2007-07-12","USA_B_1 - JPN_B_1"
"2004-08-26 - 2007-07-12","CAN_B_1 - NOR_B_1"
"2004-08-26 - 2007-07-12","MEX_B_1 - NOR_B_1"
"2004-08-26 - 2007-07-12","CAN_B_2 - AUS_B_2"
"2004-08-26 - 2007-07-12","MEX_B_2 - AUS_B_2"
"2004-08-26 - 2007-07-12","USA_B_2 - CAN_B_2"
"2004-08-26 - 2007-07-12","ITA_B_2 - DEU_B_2"
"2004-08-26 - 2007-07-12","CHE_B_2 - FRA_B_2"
"2004-08-26 - 2007-07-12","ITA_B_2 - FRA_B_2"
"2004-08-26 - 2007-07-12","ITA_B_3 - AUS_B_3"
"2004-08-26 - 2007-07-12","DEU_B_3 - CHE_B_3"
"2004-08-26 - 2007-07-12","FRA_B_3 - CHE_B_3"
"2004-08-26 - 2007-07-12","USA_B_3 - DEU_B_3"
"2004-08-26 - 2007-07-12","CHE_B_3 - ITA_B_3"
"2004-08-26 - 2007-07-12","AUS_B_3 - NOR_B_3"
"2004-09-02 - 2007-07-19","CHN_B_1 - AUS_B_1"
"2004-09-02 - 2007-07-19","USA_B_1 - AUS_B_1"
"2004-09-02 - 2007-07-19","MEX_B_1 - CHN_B_1"
"2004-09-02 - 2007-07-19","MEX_B_1 - DEU_B_1"
"2004-09-02 - 2007-07-19","MEX_B_1 - GBR_B_1"
"2004-09-02 - 2007-07-19","USA_B_1 - JPN_B_1"
"2004-09-02 - 2007-07-19","CAN_B_1 - NOR_B_1"
"2004-09-02 - 2007-07-19","MEX_B_1 - NOR_B_1"
"2004-09-02 - 2007-07-19","USA_B_2 - CAN_B_2"
"2004-09-02 - 2007-07-19","ITA_B_2 - DEU_B_2"
"2004-09-02 - 2007-07-19","CHE_B_2 - FRA_B_2"
"2004-09-02 - 2007-07-19","ITA_B_2 - FRA_B_2"
"2004-09-02 - 2007-07-19","ITA_B_3 - AUS_B_3"
"2004-09-02 - 2007-07-19","DEU_B_3 - CHE_B_3"
"2004-09-02 - 2007-07-19","FRA_B_3 - CHE_B_3"
"2004-09-02 - 2007-07-19","USA_B_3 - DEU_B_3"
"2004-09-02 - 2007-07-19","CHE_B_3 - ITA_B_3"
"2004-09-02 - 2007-07-19","AUS_B_3 - NOR_B_3"
"2004-09-09 - 2007-07-26","USA_B_1 - AUS_B_1"
"2004-09-09 - 2007-07-26","MEX_B_1 - CHN_B_1"
"2004-09-09 - 2007-07-26","USA_B_1 - JPN_B_1"
"2004-09-09 - 2007-07-26","CAN_B_1 - NOR_B_1"
"2004-09-09 - 2007-07-26","DEU_B_1 - NOR_B_1"
"2004-09-09 - 2007-07-26","FRA_B_1 - NOR_B_1"
"2004-09-09 - 2007-07-26","USA_B_2 - CAN_B_2"
"2004-09-09 - 2007-07-26","ITA_B_2 - DEU_B_2"
"2004-09-09 - 2007-07-26","CHE_B_2 - FRA_B_2"
"2004-09-09 - 2007-07-26","ITA_B_2 - FRA_B_2"
"2004-09-09 - 2007-07-26","ITA_B_3 - AUS_B_3"
"2004-09-09 - 2007-07-26","FRA_B_3 - CHE_B_3"
"2004-09-09 - 2007-07-26","USA_B_3 - CHE_B_3"
"2004-09-09 - 2007-07-26","USA_B_3 - DEU_B_3"
"2004-09-09 - 2007-07-26","USA_B_3 - FRA_B_3"
"2004-09-09 - 2007-07-26","CHE_B_3 - ITA_B_3"
"2004-09-09 - 2007-07-26","DEU_B_3 - ITA_B_3"
"2004-09-09 - 2007-07-26","FRA_B_3 - ITA_B_3"
"2004-09-09 - 2007-07-26","AUS_B_3 - NOR_B_3"
"2004-09-16 - 2007-08-02","USA_B_1 - AUS_B_1"
"2004-09-16 - 2007-08-02","MEX_B_1 - CHN_B_1"
"2004-09-16 - 2007-08-02","MEX_B_1 - GBR_B_1"
"2004-09-16 - 2007-08-02","USA_B_1 - JPN_B_1"
"2004-09-16 - 2007-08-02","CAN_B_1 - NOR_B_1"
"2004-09-16 - 2007-08-02","DEU_B_1 - NOR_B_1"
"2004-09-16 - 2007-08-02","FRA_B_1 - NOR_B_1"
"2004-09-16 - 2007-08-02","ITA_B_2 - DEU_B_2"
"2004-09-16 - 2007-08-02","CHE_B_2 - FRA_B_2"
"2004-09-16 - 2007-08-02","ITA_B_2 - FRA_B_2"
"2004-09-16 - 2007-08-02","ITA_B_3 - AUS_B_3"
"2004-09-16 - 2007-08-02","USA_B_3 - DEU_B_3"
"2004-09-16 - 2007-08-02","CHE_B_3 - ITA_B_3"
"2004-09-16 - 2007-08-02","FRA_B_3 - ITA_B_3"
"2004-09-16 - 2007-08-02","AUS_B_3 - NOR_B_3"
"2004-09-23 - 2007-08-09","USA_B_1 - AUS_B_1"
"2004-09-23 - 2007-08-09","MEX_B_1 - CHN_B_1"
"2004-09-23 - 2007-08-09","MEX_B_1 - GBR_B_1"
"2004-09-23 - 2007-08-09","DEU_B_1 - JPN_B_1"
"2004-09-23 - 2007-08-09","USA_B_1 - JPN_B_1"
"2004-09-23 - 2007-08-09","CAN_B_1 - NOR_B_1"
"2004-09-23 - 2007-08-09","DEU_B_1 - NOR_B_1"
"2004-09-23 - 2007-08-09","FRA_B_1 - NOR_B_1"
"2004-09-23 - 2007-08-09","USA_B_2 - CAN_B_2"
"2004-09-23 - 2007-08-09","ITA_B_2 - DEU_B_2"
"2004-09-23 - 2007-08-09","CHE_B_2 - FRA_B_2"
"2004-09-23 - 2007-08-09","ITA_B_2 - FRA_B_2"
"2004-09-23 - 2007-08-09","MEX_B_2 - ITA_B_2"
"2004-09-23 - 2007-08-09","ITA_B_2 - NOR_B_2"
"2004-09-23 - 2007-08-09","ITA_B_3 - AUS_B_3"
"2004-09-23 - 2007-08-09","USA_B_3 - DEU_B_3"
"2004-09-23 - 2007-08-09","CHE_B_3 - ITA_B_3"
"2004-09-23 - 2007-08-09","DEU_B_3 - ITA_B_3"
"2004-09-23 - 2007-08-09","FRA_B_3 - ITA_B_3"
"2004-09-23 - 2007-08-09","AUS_B_3 - NOR_B_3"
"2004-09-30 - 2007-08-16","USA_B_1 - AUS_B_1"
"2004-09-30 - 2007-08-16","MEX_B_1 - CHN_B_1"
"2004-09-30 - 2007-08-16","MEX_B_1 - GBR_B_1"
"2004-09-30 - 2007-08-16","USA_B_1 - JPN_B_1"
"2004-09-30 - 2007-08-16","CAN_B_1 - NOR_B_1"
"2004-09-30 - 2007-08-16","DEU_B_1 - NOR_B_1"
"2004-09-30 - 2007-08-16","FRA_B_1 - NOR_B_1"
"2004-09-30 - 2007-08-16","USA_B_2 - CAN_B_2"
"2004-09-30 - 2007-08-16","ITA_B_2 - DEU_B_2"
"2004-09-30 - 2007-08-16","CHE_B_2 - FRA_B_2"
"2004-09-30 - 2007-08-16","ITA_B_2 - FRA_B_2"
"2004-09-30 - 2007-08-16","MEX_B_2 - ITA_B_2"
"2004-09-30 - 2007-08-16","ITA_B_3 - AUS_B_3"
"2004-09-30 - 2007-08-16","USA_B_3 - CHE_B_3"
"2004-09-30 - 2007-08-16","CHE_B_3 - ITA_B_3"
"2004-09-30 - 2007-08-16","DEU_B_3 - ITA_B_3"
"2004-09-30 - 2007-08-16","FRA_B_3 - ITA_B_3"
"2004-10-07 - 2007-08-23","USA_B_1 - AUS_B_1"
"2004-10-07 - 2007-08-23","MEX_B_1 - CHN_B_1"
"2004-10-07 - 2007-08-23","MEX_B_1 - GBR_B_1"
"2004-10-07 - 2007-08-23","USA_B_1 - JPN_B_1"
"2004-10-07 - 2007-08-23","CAN_B_1 - NOR_B_1"
"2004-10-07 - 2007-08-23","GBR_B_1 - NOR_B_1"
"2004-10-07 - 2007-08-23","USA_B_2 - CAN_B_2"
"2004-10-07 - 2007-08-23","CHE_B_2 - DEU_B_2"
"2004-10-07 - 2007-08-23","CHE_B_2 - FRA_B_2"
"2004-10-07 - 2007-08-23","ITA_B_2 - FRA_B_2"
"2004-10-07 - 2007-08-23","JPN_B_2 - MEX_B_2"
"2004-10-07 - 2007-08-23","CHE_B_2 - NOR_B_2"
"2004-10-07 - 2007-08-23","ITA_B_3 - AUS_B_3"
"2004-10-07 - 2007-08-23","USA_B_3 - DEU_B_3"
"2004-10-07 - 2007-08-23","CHE_B_3 - ITA_B_3"
"2004-10-14 - 2007-08-30","MEX_B_1 - GBR_B_1"
"2004-10-14 - 2007-08-30","USA_B_1 - JPN_B_1"
"2004-10-14 - 2007-08-30","CAN_B_1 - NOR_B_1"
"2004-10-14 - 2007-08-30","GBR_B_1 - NOR_B_1"
"2004-10-14 - 2007-08-30","USA_B_2 - CAN_B_2"
"2004-10-14 - 2007-08-30","CHE_B_2 - FRA_B_2"
"2004-10-14 - 2007-08-30","JPN_B_2 - MEX_B_2"
"2004-10-14 - 2007-08-30","CHE_B_2 - NOR_B_2"
"2004-10-14 - 2007-08-30","ITA_B_3 - AUS_B_3"
"2004-10-14 - 2007-08-30","USA_B_3 - DEU_B_3"
"2004-10-14 - 2007-08-30","CHE_B_3 - ITA_B_3"
"2004-10-14 - 2007-08-30","AUS_B_3 - USA_B_3"
"2004-10-21 - 2007-09-06","MEX_B_1 - GBR_B_1"
"2004-10-21 - 2007-09-06","USA_B_1 - JPN_B_1"
"2004-10-21 - 2007-09-06","CAN_B_1 - NOR_B_1"
"2004-10-21 - 2007-09-06","GBR_B_1 - NOR_B_1"
"2004-10-21 - 2007-09-06","USA_B_2 - CAN_B_2"
"2004-10-21 - 2007-09-06","CHE_B_2 - FRA_B_2"
"2004-10-21 - 2007-09-06","JPN_B_2 - MEX_B_2"
"2004-10-21 - 2007-09-06","CHE_B_2 - NOR_B_2"
"2004-10-21 - 2007-09-06","ITA_B_3 - AUS_B_3"
"2004-10-21 - 2007-09-06","USA_B_3 - DEU_B_3"
"2004-10-28 - 2007-09-13","ITA_B_1 - GBR_B_1"
"2004-10-28 - 2007-09-13","MEX_B_1 - GBR_B_1"
"2004-10-28 - 2007-09-13","USA_B_1 - JPN_B_1"
"2004-10-28 - 2007-09-13","CAN_B_1 - NOR_B_1"
"2004-10-28 - 2007-09-13","GBR_B_1 - NOR_B_1"
"2004-10-28 - 2007-09-13","USA_B_2 - CAN_B_2"
"2004-10-28 - 2007-09-13","CHE_B_2 - FRA_B_2"
"2004-10-28 - 2007-09-13","NOR_B_2 - JPN_B_2"
"2004-10-28 - 2007-09-13","CHE_B_2 - NOR_B_2"
"2004-10-28 - 2007-09-13","JPN_B_2 - USA_B_2"
"2004-10-28 - 2007-09-13","ITA_B_3 - AUS_B_3"
"2004-10-28 - 2007-09-13","USA_B_3 - DEU_B_3"
"2004-10-28 - 2007-09-13","CHE_B_3 - ITA_B_3"
"2004-11-04 - 2007-09-20","CHE_B_1 - GBR_B_1"
"2004-11-04 - 2007-09-20","CHN_B_1 - GBR_B_1"
"2004-11-04 - 2007-09-20","ITA_B_1 - GBR_B_1"
"2004-11-04 - 2007-09-20","MEX_B_1 - GBR_B_1"
"2004-11-04 - 2007-09-20","USA_B_1 - JPN_B_1"
"2004-11-04 - 2007-09-20","CAN_B_1 - NOR_B_1"
"2004-11-04 - 2007-09-20","GBR_B_1 - NOR_B_1"
"2004-11-04 - 2007-09-20","USA_B_2 - CAN_B_2"
"2004-11-04 - 2007-09-20","CHE_B_2 - DEU_B_2"
"2004-11-04 - 2007-09-20","CHE_B_2 - FRA_B_2"
"2004-11-04 - 2007-09-20","CHE_B_2 - NOR_B_2"
"2004-11-04 - 2007-09-20","JPN_B_2 - USA_B_2"
"2004-11-04 - 2007-09-20","USA_B_3 - GBR_B_3"
"2004-11-04 - 2007-09-20","CHE_B_3 - ITA_B_3"
"2004-11-11 - 2007-09-27","USA_B_1 - AUS_B_1"
"2004-11-11 - 2007-09-27","MEX_B_1 - GBR_B_1"
"2004-11-11 - 2007-09-27","USA_B_1 - JPN_B_1"
"2004-11-11 - 2007-09-27","CAN_B_1 - NOR_B_1"
"2004-11-11 - 2007-09-27","GBR_B_1 - NOR_B_1"
"2004-11-11 - 2007-09-27","USA_B_2 - CAN_B_2"
"2004-11-11 - 2007-09-27","CHE_B_2 - FRA_B_2"
"2004-11-11 - 2007-09-27","JPN_B_2 - MEX_B_2"
"2004-11-11 - 2007-09-27","CHE_B_2 - NOR_B_2"
"2004-11-11 - 2007-09-27","JPN_B_2 - USA_B_2"
"2004-11-11 - 2007-09-27","USA_B_3 - DEU_B_3"
"2004-11-11 - 2007-09-27","USA_B_3 - FRA_B_3"
"2004-11-11 - 2007-09-27","CHE_B_3 - ITA_B_3"
"2004-11-11 - 2007-09-27","USA_B_3 - ITA_B_3"
"2004-11-11 - 2007-09-27","AUS_B_3 - NOR_B_3"
"2004-11-18 - 2007-10-04","USA_B_1 - AUS_B_1"
"2004-11-18 - 2007-10-04","MEX_B_1 - GBR_B_1"
"2004-11-18 - 2007-10-04","USA_B_1 - JPN_B_1"
"2004-11-18 - 2007-10-04","CAN_B_1 - NOR_B_1"
"2004-11-18 - 2007-10-04","GBR_B_1 - NOR_B_1"
"2004-11-18 - 2007-10-04","CAN_B_1 - USA_B_1"
"2004-11-18 - 2007-10-04","USA_B_2 - CAN_B_2"
"2004-11-18 - 2007-10-04","CHE_B_2 - FRA_B_2"
"2004-11-18 - 2007-10-04","CHE_B_2 - NOR_B_2"
"2004-11-18 - 2007-10-04","CAN_B_3 - AUS_B_3"
"2004-11-18 - 2007-10-04","USA_B_3 - DEU_B_3"
"2004-11-18 - 2007-10-04","USA_B_3 - FRA_B_3"
"2004-11-18 - 2007-10-04","CHE_B_3 - ITA_B_3"
"2004-11-18 - 2007-10-04","USA_B_3 - ITA_B_3"
"2004-11-18 - 2007-10-04","AUS_B_3 - NOR_B_3"
"2004-11-25 - 2007-10-11","USA_B_1 - AUS_B_1"
"2004-11-25 - 2007-10-11","MEX_B_1 - GBR_B_1"
"2004-11-25 - 2007-10-11","USA_B_1 - JPN_B_1"
"2004-11-25 - 2007-10-11","CAN_B_1 - NOR_B_1"
"2004-11-25 - 2007-10-11","GBR_B_1 - NOR_B_1"
"2004-11-25 - 2007-10-11","CAN_B_1 - USA_B_1"
"2004-11-25 - 2007-10-11","USA_B_2 - CAN_B_2"
"2004-11-25 - 2007-10-11","NOR_B_2 - JPN_B_2"
"2004-11-25 - 2007-10-11","CHE_B_2 - NOR_B_2"
"2004-11-25 - 2007-10-11","USA_B_3 - DEU_B_3"
"2004-11-25 - 2007-10-11","USA_B_3 - FRA_B_3"
"2004-11-25 - 2007-10-11","USA_B_3 - GBR_B_3"
"2004-11-25 - 2007-10-11","CHE_B_3 - ITA_B_3"
"2004-11-25 - 2007-10-11","USA_B_3 - ITA_B_3"
"2004-12-02 - 2007-10-18","USA_B_1 - AUS_B_1"
"2004-12-02 - 2007-10-18","MEX_B_1 - GBR_B_1"
"2004-12-02 - 2007-10-18","USA_B_1 - JPN_B_1"
"2004-12-02 - 2007-10-18","CAN_B_1 - NOR_B_1"
"2004-12-02 - 2007-10-18","GBR_B_1 - NOR_B_1"
"2004-12-02 - 2007-10-18","USA_B_2 - CAN_B_2"
"2004-12-02 - 2007-10-18","CHE_B_2 - FRA_B_2"
"2004-12-02 - 2007-10-18","NOR_B_2 - JPN_B_2"
"2004-12-02 - 2007-10-18","JPN_B_2 - MEX_B_2"
"2004-12-02 - 2007-10-18","CHE_B_2 - NOR_B_2"
"2004-12-02 - 2007-10-18","ITA_B_2 - NOR_B_2"
"2004-12-02 - 2007-10-18","GBR_B_3 - CAN_B_3"
"2004-12-02 - 2007-10-18","USA_B_3 - DEU_B_3"
"2004-12-02 - 2007-10-18","USA_B_3 - FRA_B_3"
"2004-12-02 - 2007-10-18","USA_B_3 - GBR_B_3"
"2004-12-02 - 2007-10-18","CHE_B_3 - ITA_B_3"
"2004-12-02 - 2007-10-18","USA_B_3 - ITA_B_3"
"2004-12-09 - 2007-10-25","USA_B_1 - AUS_B_1"
"2004-12-09 - 2007-10-25","MEX_B_1 - GBR_B_1"
"2004-12-09 - 2007-10-25","USA_B_1 - JPN_B_1"
"2004-12-09 - 2007-10-25","CAN_B_1 - NOR_B_1"
"2004-12-09 - 2007-10-25","GBR_B_1 - NOR_B_1"
"2004-12-09 - 2007-10-25","USA_B_2 - CAN_B_2"
"2004-12-09 - 2007-10-25","NOR_B_2 - JPN_B_2"
"2004-12-09 - 2007-10-25","JPN_B_2 - MEX_B_2"
"2004-12-09 - 2007-10-25","CHE_B_2 - NOR_B_2"
"2004-12-09 - 2007-10-25","MEX_B_2 - NOR_B_2"
"2004-12-09 - 2007-10-25","GBR_B_3 - CAN_B_3"
"2004-12-09 - 2007-10-25","ITA_B_3 - DEU_B_3"
"2004-12-09 - 2007-10-25","USA_B_3 - DEU_B_3"
"2004-12-09 - 2007-10-25","USA_B_3 - FRA_B_3"
"2004-12-09 - 2007-10-25","USA_B_3 - GBR_B_3"
"2004-12-09 - 2007-10-25","CHE_B_3 - ITA_B_3"
"2004-12-16 - 2007-11-01","USA_B_1 - AUS_B_1"
"2004-12-16 - 2007-11-01","MEX_B_1 - GBR_B_1"
"2004-12-16 - 2007-11-01","USA_B_1 - JPN_B_1"
"2004-12-16 - 2007-11-01","CAN_B_1 - NOR_B_1"
"2004-12-16 - 2007-11-01","GBR_B_1 - NOR_B_1"
"2004-12-16 - 2007-11-01","NOR_B_1 - USA_B_1"
"2004-12-16 - 2007-11-01","MEX_B_2 - CAN_B_2"
"2004-12-16 - 2007-11-01","USA_B_2 - CAN_B_2"
"2004-12-16 - 2007-11-01","NOR_B_2 - JPN_B_2"
"2004-12-16 - 2007-11-01","JPN_B_2 - MEX_B_2"
"2004-12-16 - 2007-11-01","CHE_B_2 - NOR_B_2"
"2004-12-16 - 2007-11-01","MEX_B_2 - NOR_B_2"
"2004-12-16 - 2007-11-01","ITA_B_3 - DEU_B_3"
"2004-12-16 - 2007-11-01","USA_B_3 - DEU_B_3"
"2004-12-16 - 2007-11-01","USA_B_3 - FRA_B_3"
"2004-12-16 - 2007-11-01","USA_B_3 - GBR_B_3"
"2004-12-16 - 2007-11-01","CHE_B_3 - ITA_B_3"
"2004-12-23 - 2007-11-08","USA_B_1 - AUS_B_1"
"2004-12-23 - 2007-11-08","MEX_B_1 - GBR_B_1"
"2004-12-23 - 2007-11-08","USA_B_1 - JPN_B_1"
"2004-12-23 - 2007-11-08","GBR_B_1 - NOR_B_1"
"2004-12-23 - 2007-11-08","NOR_B_1 - USA_B_1"
"2004-12-23 - 2007-11-08","MEX_B_2 - CAN_B_2"
"2004-12-23 - 2007-11-08","USA_B_2 - CAN_B_2"
"2004-12-23 - 2007-11-08","NOR_B_2 - JPN_B_2"
"2004-12-23 - 2007-11-08","JPN_B_2 - MEX_B_2"
"2004-12-23 - 2007-11-08","CHE_B_2 - NOR_B_2"
"2004-12-23 - 2007-11-08","MEX_B_2 - NOR_B_2"
"2004-12-23 - 2007-11-08","ITA_B_3 - DEU_B_3"
"2004-12-23 - 2007-11-08","USA_B_3 - DEU_B_3"
"2004-12-23 - 2007-11-08","DEU_B_3 - FRA_B_3"
"2004-12-23 - 2007-11-08","USA_B_3 - FRA_B_3"
"2004-12-23 - 2007-11-08","USA_B_3 - GBR_B_3"
"2004-12-23 - 2007-11-08","CHE_B_3 - ITA_B_3"
"2004-12-30 - 2007-11-15","USA_B_1 - AUS_B_1"
"2004-12-30 - 2007-11-15","MEX_B_1 - GBR_B_1"
"2004-12-30 - 2007-11-15","USA_B_1 - JPN_B_1"
"2004-12-30 - 2007-11-15","USA_B_1 - NOR_B_1"
"2004-12-30 - 2007-11-15","NOR_B_1 - USA_B_1"
"2004-12-30 - 2007-11-15","MEX_B_2 - CAN_B_2"
"2004-12-30 - 2007-11-15","USA_B_2 - CAN_B_2"
"2004-12-30 - 2007-11-15","NOR_B_2 - JPN_B_2"
"2004-12-30 - 2007-11-15","JPN_B_2 - MEX_B_2"
"2004-12-30 - 2007-11-15","CHE_B_2 - NOR_B_2"
"2004-12-30 - 2007-11-15","ITA_B_3 - DEU_B_3"
"2004-12-30 - 2007-11-15","USA_B_3 - DEU_B_3"
"2004-12-30 - 2007-11-15","DEU_B_3 - FRA_B_3"
"2004-12-30 - 2007-11-15","USA_B_3 - FRA_B_3"
"2004-12-30 - 2007-11-15","USA_B_3 - GBR_B_3"
"2004-12-30 - 2007-11-15","CHE_B_3 - ITA_B_3"
"2005-01-06 - 2007-11-22","USA_B_1 - AUS_B_1"
"2005-01-06 - 2007-11-22","USA_B_1 - JPN_B_1"
"2005-01-06 - 2007-11-22","USA_B_1 - NOR_B_1"
"2005-01-06 - 2007-11-22","MEX_B_2 - CAN_B_2"
"2005-01-06 - 2007-11-22","USA_B_2 - CAN_B_2"
"2005-01-06 - 2007-11-22","NOR_B_2 - JPN_B_2"
"2005-01-06 - 2007-11-22","JPN_B_2 - MEX_B_2"
