,timeframe,edges,,,timeframe,edges,,Row Labels,Count of edges,,,DEU_B_1 - MEX_B_1,70
69,2005-10-20 - 2008-09-04, - ,,,2005-10-20 - 2008-09-04, - ,,2005-10-20 - 2008-09-04,1,,,,
70,2005-10-27 - 2008-09-11, - ,,,2005-10-27 - 2008-09-11, - ,,2005-10-27 - 2008-09-11,1,,,,
71,2005-11-03 - 2008-09-18, - ,,,2005-11-03 - 2008-09-18, - ,,2005-11-03 - 2008-09-18,1,,,,
72,2005-11-10 - 2008-09-25, - ,,,2005-11-10 - 2008-09-25, - ,,2005-11-10 - 2008-09-25,1,,,,
73,2005-11-17 - 2008-10-02, - ,,,2005-11-17 - 2008-10-02, - ,,2005-11-17 - 2008-10-02,1,,,,
74,2005-11-24 - 2008-10-09,USA_B_1 - GBR_B_1,,,2005-11-24 - 2008-10-09,USA_B_1 - GBR_B_1,,2005-11-24 - 2008-10-09,2,,,,
75,2005-11-24 - 2008-10-09,USA_B_1 - NOR_B_1,,,2005-11-24 - 2008-10-09,USA_B_1 - NOR_B_1,,2005-12-01 - 2008-10-16,1,,,,
76,2005-12-01 - 2008-10-16,USA_B_1 - GBR_B_1,,,2005-12-01 - 2008-10-16,USA_B_1 - GBR_B_1,,2005-12-08 - 2008-10-23,1,,,,
77,2005-12-08 - 2008-10-23,USA_B_1 - GBR_B_1,,,2005-12-08 - 2008-10-23,USA_B_1 - GBR_B_1,,2005-12-15 - 2008-10-30,1,,,,
78,2005-12-15 - 2008-10-30,USA_B_1 - GBR_B_1,,,2005-12-15 - 2008-10-30,USA_B_1 - GBR_B_1,,2005-12-22 - 2008-11-06,1,,,,
79,2005-12-22 - 2008-11-06,USA_B_1 - GBR_B_1,,,2005-12-22 - 2008-11-06,USA_B_1 - GBR_B_1,,2005-12-29 - 2008-11-13,1,,,,
80,2005-12-29 - 2008-11-13,USA_B_1 - GBR_B_1,,,2005-12-29 - 2008-11-13,USA_B_1 - GBR_B_1,,2006-01-05 - 2008-11-20,2,,,,
81,2006-01-05 - 2008-11-20,USA_B_1 - GBR_B_1,,,2006-01-05 - 2008-11-20,USA_B_1 - GBR_B_1,,2006-01-12 - 2008-11-27,1,,,,
82,2006-01-05 - 2008-11-20,AUS_B_1 - NOR_B_1,,,2006-01-05 - 2008-11-20,AUS_B_1 - NOR_B_1,,2006-01-19 - 2008-12-04,2,,,,
83,2006-01-12 - 2008-11-27,USA_B_1 - GBR_B_1,,,2006-01-12 - 2008-11-27,USA_B_1 - GBR_B_1,,2006-01-26 - 2008-12-11,1,,,,
84,2006-01-19 - 2008-12-04,USA_B_1 - GBR_B_1,,,2006-01-19 - 2008-12-04,USA_B_1 - GBR_B_1,,2006-02-02 - 2008-12-18,1,,,,
85,2006-01-19 - 2008-12-04,AUS_B_1 - NOR_B_1,,,2006-01-19 - 2008-12-04,AUS_B_1 - NOR_B_1,,2006-02-09 - 2008-12-25,1,,,,
86,2006-01-26 - 2008-12-11,USA_B_1 - GBR_B_1,,,2006-01-26 - 2008-12-11,USA_B_1 - GBR_B_1,,2006-02-16 - 2009-01-01,1,,,,
87,2006-02-02 - 2008-12-18,USA_B_1 - GBR_B_1,,,2006-02-02 - 2008-12-18,USA_B_1 - GBR_B_1,,2006-02-23 - 2009-01-08,4,,,,
88,2006-02-09 - 2008-12-25,USA_B_1 - GBR_B_1,,,2006-02-09 - 2008-12-25,USA_B_1 - GBR_B_1,,2006-03-02 - 2009-01-15,1,,,,
89,2006-02-16 - 2009-01-01,USA_B_1 - GBR_B_1,,,2006-02-16 - 2009-01-01,USA_B_1 - GBR_B_1,,2006-03-09 - 2009-01-22,1,,,,
90,2006-02-23 - 2009-01-08,USA_B_1 - GBR_B_1,,,2006-02-23 - 2009-01-08,USA_B_1 - GBR_B_1,,2006-03-16 - 2009-01-29,3,,,,
91,2006-02-23 - 2009-01-08,DEU_B_1 - MEX_B_1,,,2006-02-23 - 2009-01-08,DEU_B_1 - MEX_B_1,,2006-03-23 - 2009-02-05,4,,,,
92,2006-02-23 - 2009-01-08,FRA_B_1 - MEX_B_1,,,2006-02-23 - 2009-01-08,FRA_B_1 - MEX_B_1,,2006-03-30 - 2009-02-12,3,,,,
93,2006-02-23 - 2009-01-08,USA_B_1 - NOR_B_1,,,2006-02-23 - 2009-01-08,USA_B_1 - NOR_B_1,,2006-04-06 - 2009-02-19,2,,,,
94,2006-03-02 - 2009-01-15,USA_B_1 - NOR_B_1,,,2006-03-02 - 2009-01-15,USA_B_1 - NOR_B_1,,2006-04-13 - 2009-02-26,3,,,,
95,2006-03-09 - 2009-01-22, - ,,,2006-03-09 - 2009-01-22, - ,,2006-04-20 - 2009-03-05,6,,,,
96,2006-03-16 - 2009-01-29,CHE_B_1 - AUS_B_1,,,2006-03-16 - 2009-01-29,CHE_B_1 - AUS_B_1,,2006-04-27 - 2009-03-12,4,,,,
97,2006-03-16 - 2009-01-29,FRA_B_1 - MEX_B_1,,,2006-03-16 - 2009-01-29,FRA_B_1 - MEX_B_1,,2006-05-04 - 2009-03-19,4,,,,
98,2006-03-16 - 2009-01-29,USA_B_1 - NOR_B_1,,,2006-03-16 - 2009-01-29,USA_B_1 - NOR_B_1,,2006-05-11 - 2009-03-26,3,,,,
99,2006-03-23 - 2009-02-05,CHE_B_1 - AUS_B_1,,,2006-03-23 - 2009-02-05,CHE_B_1 - AUS_B_1,,2006-05-18 - 2009-04-02,4,,,,
100,2006-03-23 - 2009-02-05,FRA_B_1 - MEX_B_1,,,2006-03-23 - 2009-02-05,FRA_B_1 - MEX_B_1,,2006-05-25 - 2009-04-09,3,,,,
101,2006-03-23 - 2009-02-05,FRA_B_1 - NOR_B_1,,,2006-03-23 - 2009-02-05,FRA_B_1 - NOR_B_1,,2006-06-01 - 2009-04-16,4,,,,
102,2006-03-23 - 2009-02-05,USA_B_1 - NOR_B_1,,,2006-03-23 - 2009-02-05,USA_B_1 - NOR_B_1,,2006-06-08 - 2009-04-23,5,,,,
103,2006-03-30 - 2009-02-12,CHE_B_1 - AUS_B_1,,,2006-03-30 - 2009-02-12,CHE_B_1 - AUS_B_1,,2006-06-15 - 2009-04-30,4,,,,
104,2006-03-30 - 2009-02-12,USA_B_1 - GBR_B_1,,,2006-03-30 - 2009-02-12,USA_B_1 - GBR_B_1,,2006-06-22 - 2009-05-07,6,,,,
105,2006-03-30 - 2009-02-12,FRA_B_1 - MEX_B_1,,,2006-03-30 - 2009-02-12,FRA_B_1 - MEX_B_1,,2006-06-29 - 2009-05-14,5,,,,
106,2006-04-06 - 2009-02-19,USA_B_1 - GBR_B_1,,,2006-04-06 - 2009-02-19,USA_B_1 - GBR_B_1,,2006-07-06 - 2009-05-21,5,,,,
107,2006-04-06 - 2009-02-19,USA_B_1 - NOR_B_1,,,2006-04-06 - 2009-02-19,USA_B_1 - NOR_B_1,,2006-07-13 - 2009-05-28,4,,,,
108,2006-04-13 - 2009-02-26,USA_B_1 - GBR_B_1,,,2006-04-13 - 2009-02-26,USA_B_1 - GBR_B_1,,2006-07-20 - 2009-06-04,4,,,,
109,2006-04-13 - 2009-02-26,FRA_B_1 - MEX_B_1,,,2006-04-13 - 2009-02-26,FRA_B_1 - MEX_B_1,,2006-07-27 - 2009-06-11,4,,,,
110,2006-04-13 - 2009-02-26,NOR_B_1 - MEX_B_1,,,2006-04-13 - 2009-02-26,NOR_B_1 - MEX_B_1,,2006-08-03 - 2009-06-18,3,,,,
111,2006-04-20 - 2009-03-05,DEU_B_1 - CAN_B_1,,,2006-04-20 - 2009-03-05,DEU_B_1 - CAN_B_1,,2006-08-10 - 2009-06-25,3,,,,
112,2006-04-20 - 2009-03-05,USA_B_1 - GBR_B_1,,,2006-04-20 - 2009-03-05,USA_B_1 - GBR_B_1,,2006-08-17 - 2009-07-02,4,,,,
113,2006-04-20 - 2009-03-05,DEU_B_1 - MEX_B_1,,,2006-04-20 - 2009-03-05,DEU_B_1 - MEX_B_1,,2006-08-24 - 2009-07-09,3,,,,
114,2006-04-20 - 2009-03-05,FRA_B_1 - MEX_B_1,,,2006-04-20 - 2009-03-05,FRA_B_1 - MEX_B_1,,2006-08-31 - 2009-07-16,4,,,,
115,2006-04-20 - 2009-03-05,NOR_B_1 - MEX_B_1,,,2006-04-20 - 2009-03-05,NOR_B_1 - MEX_B_1,,2006-09-07 - 2009-07-23,3,,,,
116,2006-04-20 - 2009-03-05,USA_B_1 - NOR_B_1,,,2006-04-20 - 2009-03-05,USA_B_1 - NOR_B_1,,2006-09-14 - 2009-07-30,2,,,,
117,2006-04-27 - 2009-03-12,USA_B_1 - GBR_B_1,,,2006-04-27 - 2009-03-12,USA_B_1 - GBR_B_1,,2006-09-21 - 2009-08-06,2,,,,
118,2006-04-27 - 2009-03-12,DEU_B_1 - MEX_B_1,,,2006-04-27 - 2009-03-12,DEU_B_1 - MEX_B_1,,2006-09-28 - 2009-08-13,2,,,,
119,2006-04-27 - 2009-03-12,NOR_B_1 - MEX_B_1,,,2006-04-27 - 2009-03-12,NOR_B_1 - MEX_B_1,,2006-10-05 - 2009-08-20,2,,,,
120,2006-04-27 - 2009-03-12,USA_B_1 - NOR_B_1,,,2006-04-27 - 2009-03-12,USA_B_1 - NOR_B_1,,2006-10-12 - 2009-08-27,2,,,,
121,2006-05-04 - 2009-03-19,USA_B_1 - GBR_B_1,,,2006-05-04 - 2009-03-19,USA_B_1 - GBR_B_1,,2006-10-19 - 2009-09-03,2,,,,
122,2006-05-04 - 2009-03-19,DEU_B_1 - MEX_B_1,,,2006-05-04 - 2009-03-19,DEU_B_1 - MEX_B_1,,2006-10-26 - 2009-09-10,2,,,,
123,2006-05-04 - 2009-03-19,NOR_B_1 - MEX_B_1,,,2006-05-04 - 2009-03-19,NOR_B_1 - MEX_B_1,,2006-11-02 - 2009-09-17,2,,,,
124,2006-05-04 - 2009-03-19,USA_B_1 - NOR_B_1,,,2006-05-04 - 2009-03-19,USA_B_1 - NOR_B_1,,2006-11-09 - 2009-09-24,2,,,,
125,2006-05-11 - 2009-03-26,USA_B_1 - GBR_B_1,,,2006-05-11 - 2009-03-26,USA_B_1 - GBR_B_1,,2006-11-16 - 2009-10-01,2,,,,
126,2006-05-11 - 2009-03-26,DEU_B_1 - MEX_B_1,,,2006-05-11 - 2009-03-26,DEU_B_1 - MEX_B_1,,2006-11-23 - 2009-10-08,2,,,,
127,2006-05-11 - 2009-03-26,NOR_B_1 - MEX_B_1,,,2006-05-11 - 2009-03-26,NOR_B_1 - MEX_B_1,,2006-11-30 - 2009-10-15,2,,,,
128,2006-05-18 - 2009-04-02,USA_B_1 - GBR_B_1,,,2006-05-18 - 2009-04-02,USA_B_1 - GBR_B_1,,2006-12-07 - 2009-10-22,2,,,,
129,2006-05-18 - 2009-04-02,DEU_B_1 - MEX_B_1,,,2006-05-18 - 2009-04-02,DEU_B_1 - MEX_B_1,,2006-12-14 - 2009-10-29,2,,,,
130,2006-05-18 - 2009-04-02,GBR_B_1 - MEX_B_1,,,2006-05-18 - 2009-04-02,GBR_B_1 - MEX_B_1,,2006-12-21 - 2009-11-05,2,,,,
131,2006-05-18 - 2009-04-02,NOR_B_1 - MEX_B_1,,,2006-05-18 - 2009-04-02,NOR_B_1 - MEX_B_1,,2006-12-28 - 2009-11-12,2,,,,
132,2006-05-25 - 2009-04-09,USA_B_1 - GBR_B_1,,,2006-05-25 - 2009-04-09,USA_B_1 - GBR_B_1,,2007-01-04 - 2009-11-19,2,,,,
133,2006-05-25 - 2009-04-09,DEU_B_1 - MEX_B_1,,,2006-05-25 - 2009-04-09,DEU_B_1 - MEX_B_1,,2007-01-11 - 2009-11-26,2,,,,
134,2006-05-25 - 2009-04-09,NOR_B_1 - MEX_B_1,,,2006-05-25 - 2009-04-09,NOR_B_1 - MEX_B_1,,2007-01-18 - 2009-12-03,2,,,,
135,2006-06-01 - 2009-04-16,USA_B_1 - GBR_B_1,,,2006-06-01 - 2009-04-16,USA_B_1 - GBR_B_1,,2007-01-25 - 2009-12-10,2,,,,
136,2006-06-01 - 2009-04-16,DEU_B_1 - MEX_B_1,,,2006-06-01 - 2009-04-16,DEU_B_1 - MEX_B_1,,2007-02-01 - 2009-12-17,2,,,,
137,2006-06-01 - 2009-04-16,FRA_B_1 - MEX_B_1,,,2006-06-01 - 2009-04-16,FRA_B_1 - MEX_B_1,,2007-02-08 - 2009-12-24,2,,,,
138,2006-06-01 - 2009-04-16,NOR_B_1 - MEX_B_1,,,2006-06-01 - 2009-04-16,NOR_B_1 - MEX_B_1,,2007-02-15 - 2009-12-31,4,,,,
139,2006-06-08 - 2009-04-23,USA_B_1 - GBR_B_1,,,2006-06-08 - 2009-04-23,USA_B_1 - GBR_B_1,,2007-02-22 - 2010-01-07,3,,,,
140,2006-06-08 - 2009-04-23,DEU_B_1 - MEX_B_1,,,2006-06-08 - 2009-04-23,DEU_B_1 - MEX_B_1,,2007-03-01 - 2010-01-14,3,,,,
141,2006-06-08 - 2009-04-23,FRA_B_1 - MEX_B_1,,,2006-06-08 - 2009-04-23,FRA_B_1 - MEX_B_1,,2007-03-08 - 2010-01-21,3,,,,
142,2006-06-08 - 2009-04-23,NOR_B_1 - MEX_B_1,,,2006-06-08 - 2009-04-23,NOR_B_1 - MEX_B_1,,2007-03-15 - 2010-01-28,3,,,,
143,2006-06-08 - 2009-04-23,FRA_B_1 - NOR_B_1,,,2006-06-08 - 2009-04-23,FRA_B_1 - NOR_B_1,,2007-03-22 - 2010-02-04,3,,,,
144,2006-06-15 - 2009-04-30,USA_B_1 - GBR_B_1,,,2006-06-15 - 2009-04-30,USA_B_1 - GBR_B_1,,2007-03-29 - 2010-02-11,3,,,,
145,2006-06-15 - 2009-04-30,DEU_B_1 - MEX_B_1,,,2006-06-15 - 2009-04-30,DEU_B_1 - MEX_B_1,,2007-04-05 - 2010-02-18,3,,,,
146,2006-06-15 - 2009-04-30,FRA_B_1 - MEX_B_1,,,2006-06-15 - 2009-04-30,FRA_B_1 - MEX_B_1,,2007-04-12 - 2010-02-25,4,,,,
147,2006-06-15 - 2009-04-30,NOR_B_1 - MEX_B_1,,,2006-06-15 - 2009-04-30,NOR_B_1 - MEX_B_1,,2007-04-19 - 2010-03-04,4,,,,
148,2006-06-22 - 2009-05-07,USA_B_1 - GBR_B_1,,,2006-06-22 - 2009-05-07,USA_B_1 - GBR_B_1,,2007-04-26 - 2010-03-11,4,,,,
149,2006-06-22 - 2009-05-07,DEU_B_1 - MEX_B_1,,,2006-06-22 - 2009-05-07,DEU_B_1 - MEX_B_1,,2007-05-03 - 2010-03-18,3,,,,
150,2006-06-22 - 2009-05-07,FRA_B_1 - MEX_B_1,,,2006-06-22 - 2009-05-07,FRA_B_1 - MEX_B_1,,2007-05-10 - 2010-03-25,3,,,,
151,2006-06-22 - 2009-05-07,ITA_B_1 - MEX_B_1,,,2006-06-22 - 2009-05-07,ITA_B_1 - MEX_B_1,,2007-05-17 - 2010-04-01,2,,,,
152,2006-06-22 - 2009-05-07,NOR_B_1 - MEX_B_1,,,2006-06-22 - 2009-05-07,NOR_B_1 - MEX_B_1,,2007-05-24 - 2010-04-08,2,,,,
153,2006-06-22 - 2009-05-07,FRA_B_1 - NOR_B_1,,,2006-06-22 - 2009-05-07,FRA_B_1 - NOR_B_1,,2007-05-31 - 2010-04-15,2,,,,
154,2006-06-29 - 2009-05-14,USA_B_1 - GBR_B_1,,,2006-06-29 - 2009-05-14,USA_B_1 - GBR_B_1,,2007-06-07 - 2010-04-22,2,,,,
155,2006-06-29 - 2009-05-14,DEU_B_1 - MEX_B_1,,,2006-06-29 - 2009-05-14,DEU_B_1 - MEX_B_1,,2007-06-14 - 2010-04-29,2,,,,
156,2006-06-29 - 2009-05-14,FRA_B_1 - MEX_B_1,,,2006-06-29 - 2009-05-14,FRA_B_1 - MEX_B_1,,2007-06-21 - 2010-05-06,2,,,,
157,2006-06-29 - 2009-05-14,NOR_B_1 - MEX_B_1,,,2006-06-29 - 2009-05-14,NOR_B_1 - MEX_B_1,,2007-06-28 - 2010-05-13,2,,,,
158,2006-06-29 - 2009-05-14,FRA_B_1 - NOR_B_1,,,2006-06-29 - 2009-05-14,FRA_B_1 - NOR_B_1,,2007-07-05 - 2010-05-20,2,,,,
159,2006-07-06 - 2009-05-21,USA_B_1 - GBR_B_1,,,2006-07-06 - 2009-05-21,USA_B_1 - GBR_B_1,,2007-07-12 - 2010-05-27,2,,,,
160,2006-07-06 - 2009-05-21,DEU_B_1 - MEX_B_1,,,2006-07-06 - 2009-05-21,DEU_B_1 - MEX_B_1,,2007-07-19 - 2010-06-03,2,,,,
161,2006-07-06 - 2009-05-21,FRA_B_1 - MEX_B_1,,,2006-07-06 - 2009-05-21,FRA_B_1 - MEX_B_1,,2007-07-26 - 2010-06-10,2,,,,
162,2006-07-06 - 2009-05-21,NOR_B_1 - MEX_B_1,,,2006-07-06 - 2009-05-21,NOR_B_1 - MEX_B_1,,2007-08-02 - 2010-06-17,2,,,,
163,2006-07-06 - 2009-05-21,FRA_B_1 - NOR_B_1,,,2006-07-06 - 2009-05-21,FRA_B_1 - NOR_B_1,,2007-08-09 - 2010-06-24,2,,,,
164,2006-07-13 - 2009-05-28,USA_B_1 - GBR_B_1,,,2006-07-13 - 2009-05-28,USA_B_1 - GBR_B_1,,2007-08-16 - 2010-07-01,1,,,,
165,2006-07-13 - 2009-05-28,DEU_B_1 - MEX_B_1,,,2006-07-13 - 2009-05-28,DEU_B_1 - MEX_B_1,,2007-08-23 - 2010-07-08,1,,,,
